%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -10322.884955750103, 2219.4388174341702, 64.17185833118657, -9004.087329398077, -4009.5676791152573, -8149.6248423605975, -5001.694560252972, -6271.720680203519, -5467.03552806801, 1987.2488960324404, -14640.146749037118, 3551.379269525918, 1956.0458607728317, 4436.329536000435, -1931.4365901275387, 4042.000060319908, 0.094, -0.116, 1.008, 192.0, 1.0, 120.0, 126.0, 48.0, 15.5, 64.0, 0.0, 0.0, 0.0, 1.7794601634798656E9, 0.0, 2026-05-22 16:29:23.479
2.0, -20626.07802463508, 4444.420867493256, 137.17265572221945, -18007.012368084477, -8006.372512146535, -16308.458603436782, -9993.353187245511, -12547.665840109092, -10602.773499819457, 4389.837907533397, -28803.799009776, 7527.39698021376, 4374.303445136958, 9296.515202106859, -3513.8059870965467, 8344.822626688794, 0.094, -0.116, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163486862E9, 0.0, 2026-05-22 16:29:23.486
4.0, -20769.95620369389, 4343.838017444375, 142.64883311376968, -18172.750553220576, -8119.293525134746, -16468.139465825494, -9969.950910800804, -12614.519907774915, -10572.442182593606, 4330.851653915841, -28937.261275918638, 7505.089939247363, 4283.242438226037, 9213.210250521928, -3604.9340492408337, 8233.466235812455, 0.094, -0.116, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601634938667E9, 0.0, 2026-05-22 16:29:23.493
6.0, -20604.374480768976, 4477.0320626535495, 136.52445513301555, -17973.596510123793, -8013.860346539062, -16278.46256237776, -10009.871126397984, -12532.801930046313, -10582.52281934295, 4355.19270362767, -28900.24678710065, 7497.020959498997, 4308.634019927266, 9226.308372772739, -3594.0711014355543, 8258.187265180024, 0.094, -0.116, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601635018682E9, 0.0, 2026-05-22 16:29:23.501
8.0, -20696.486019669297, 4396.543430869989, 155.63519664230307, -18101.15791573023, -8069.069155343671, -16389.684842787367, -9962.39602117491, -12576.119610800697, -10577.38191811823, 4381.746576040576, -28819.400527405804, 7548.117047323829, 4360.825343230408, 9237.707762444945, -3524.1995482682646, 8341.492216764953, 0.09, -0.11800000000000001, 1.008, 192.0, 1.0, 104.0, 126.0, 40.0, 15.5, 64.0, 0.0, 0.0, 0.0, 1.7794601635108607E9, 0.0, 2026-05-22 16:29:23.510
10.0, -20706.745470374284, 4404.277134451525, 134.06576324293175, -18083.544741099446, -8068.286844287735, -16380.274758371683, -9986.290035997634, -12582.020471336898, -10562.585063288816, 4317.8429386428525, -28998.30389002608, 7467.8966364737325, 4232.973364946051, 9205.320084729205, -3648.542302673138, 8184.851191622161, 0.09, -0.11800000000000001, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163518865E9, 0.0, 2026-05-22 16:29:23.518
12.0, -20610.74472793874, 4470.483001528144, 149.3543564503618, -17998.719870891557, -8009.524108114733, -16289.7948968166, -9985.530076686153, -12535.640601592137, -10597.342025916818, 4396.25285819207, -28798.814570762464, 7536.427084973703, 4331.969241138607, 9270.006033182864, -3511.794330095569, 8350.969356414003, 0.09, -0.11800000000000001, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601635258694E9, 0.0, 2026-05-22 16:29:23.525
14.0, -20766.938718192425, 4357.4055263287455, 152.28243497400703, -18174.538692777, -8119.181766412469, -16464.96551811284, -9968.87802706695, -12615.235163597485, -10569.089420925311, 4339.47942727559, -28927.851191502952, 7509.806157327433, 4318.71465667661, 9220.653381425545, -3598.0720636930546, 8238.093046914702, 0.09, -0.11800000000000001, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601635338657E9, 0.0, 2026-05-22 16:29:23.533
16.0, -20604.30742553561, 4493.572353550477, 155.83636234240083, -17968.61207111026, -8003.422081878434, -16271.824094274532, -10001.377463504967, -12530.589107345237, -10595.62094159376, 4355.8185524724195, -28906.706441248232, 7494.361101908816, 4277.118060245283, 9264.909835447053, -3587.18676414332, 8257.024974468348, 0.091, -0.11800000000000001, 1.008, 192.0, 1.0, 112.0, 126.0, 40.0, 15.5, 64.0, 0.0, 0.0, 0.0, 1.7794601635428596E9, 0.0, 2026-05-22 16:29:23.542
18.0, -20702.453935438865, 4407.808710075464, 174.3659584958504, -18099.48153489608, -8078.859219415095, -16404.52640110569, -9985.328910986056, -12593.173991820096, -10591.441165380618, 4378.4161661167345, -28822.775640818556, 7547.267681034527, 4361.71941300862, 9215.803052878744, -3525.8088738690467, 8331.344524782244, 0.091, -0.11800000000000001, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601635498614E9, 0.0, 2026-05-22 16:29:23.549
20.0, -20720.648255425484, 4410.312105454458, 150.71781286213553, -18080.035517219963, -8075.0817746021485, -16393.842267256055, -9988.145230787424, -12590.357672018728, -10574.230322150031, 4307.248211771037, -29001.142561571905, 7471.04823244193, 4270.568999119878, 9194.948875301943, -3645.6812793828585, 8182.392499732077, 0.091, -0.11800000000000001, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163557864E9, 0.0, 2026-05-22 16:29:23.557
22.0, -20636.851565462537, 4458.971853133661, 142.42531566921662, -18013.024987342953, -8024.946811788895, -16322.495498954715, -10000.058710582103, -12560.987479804455, -10614.351703447308, 4375.15281142626, -28816.98653900463, 7525.698247635156, 4351.504665792545, 9214.529003444792, -3517.270507487119, 8338.251213818934, 0.091, -0.11800000000000001, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601635668576E9, 0.0, 2026-05-22 16:29:23.566
24.0, -20783.09902943361, 4350.655299503243, 151.09779251787575, -18192.665957530255, -8129.530624095277, -16487.004338145773, -9982.669053395874, -12634.79293999588, -10584.422717621652, 4318.71465667661, -28946.224325445215, 7490.963636751609, 4268.8255630523645, 9210.72920688739, -3605.448139363306, 8223.29619208529, 0.091, -0.11800000000000001, 1.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601635748622E9, 0.0, 2026-05-22 16:29:23.574
26.0, -20634.03524566117, 4464.805658436497, 143.4087924252501, -18004.7995453834, -8022.264602454258, -16299.584960888025, -10018.342437546544, -12552.851444822723, -10599.398386406707, 4330.315212048914, -28924.431374601292, 7470.690604530645, 4300.386226223258, 9229.9293553745, -3599.703741038292, 8238.920061459548, 0.0935, -0.115, 1.01, 192.0, 1.5, 0.0, 126.0, 64.0, 15.5, 80.0, 0.0, 0.0, 0.0, 1.7794601635818617E9, 0.0, 2026-05-22 16:29:23.581
28.0, -20716.647293167985, 4395.291733180491, 164.19591476868567, -18120.648636895257, -8077.607521725598, -16407.521534862703, -9978.668091138374, -12595.073890098798, -10603.980494020045, 4354.857427460841, -28841.975789305663, 7518.746855109555, 4337.356011552335, 9249.330669561705, -3526.345315735974, 8322.113254322203, 0.0935, -0.115, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163589858E9, 0.0, 2026-05-22 16:29:23.589
30.0, -20736.361531777566, 4395.805823302963, 141.1736179797194, -18109.517468156515, -8093.186687610947, -16401.24069467076, -9999.45521348181, -12595.699738943547, -10595.486831127027, 4300.207412267615, -29028.769317718667, 7447.042458896931, 4197.92582964013, 9190.634988622069, -3658.2876632556518, 8168.310900725234, 0.0935, -0.115, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601635988605E9, 0.0, 2026-05-22 16:29:23.598
32.0, -20639.019684674702, 4458.569521733466, 162.18425776770803, -18012.667359431667, -8024.96916353335, -16302.110708011474, -10002.539754216643, -12552.940851800544, -10623.515918673984, 4371.554180568955, -28820.652225095302, 7513.024808528997, 4363.753421754053, 9266.094477903185, -3519.2374609991866, 8343.369763299199, 0.0935, -0.115, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601636058593E9, 0.0, 2026-05-22 16:29:23.605
34.0, -20792.710279549396, 4342.988651155073, 157.9150745767444, -18198.075079688442, -8139.834778289173, -16484.322128811138, -9985.731242386251, -12634.50236731796, -10592.491697370016, 4312.880851373774, -28946.53724986759, 7487.677930316679, 4288.405691195213, 9197.876953825587, -3605.6940085523142, 8236.886052714117, 0.0935, -0.115, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601636138625E9, 0.0, 2026-05-22 16:29:23.613
36.0, -20623.66403623391, 4475.310978330491, 159.43499319970527, -17991.43320219913, -8015.804948306674, -16284.31871942505, -10010.921658387382, -12545.989459274944, -10591.731738058537, 4331.768075438509, -28924.14080192337, 7475.228008655073, 4273.8770572992635, 9228.655305940545, -3596.9768282147443, 8244.977384206937, 0.09475, -0.1125, 1.01, 192.0, 1.5, 0.0, 126.0, 72.0, 15.5, 72.0, 0.0, 0.0, 0.0, 1.7794601636228538E9, 0.0, 2026-05-22 16:29:23.622
38.0, -20703.549170917177, 4401.639628605799, 183.9548568671771, -18110.702110612645, -8070.253797799802, -16395.876276001487, -9972.029623035149, -12584.34505276025, -10588.088403712321, 4361.473543819612, -28824.340262930426, 7535.7788843845, 4343.033354643983, 9237.908928145043, -3512.666048129326, 8335.546652739842, 0.09475, -0.1125, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601636298609E9, 0.0, 2026-05-22 16:29:23.629
40.0, -20743.514090003264, 4377.633855060799, 160.23965600009635, -18112.311436213426, -8085.631797985054, -16415.50110763325, -9987.564085431586, -12598.337244789273, -10570.207008148076, 4285.544667904934, -29013.257207066683, 7447.735362975045, 4272.446545654124, 9227.53771871778, -3643.8484363375233, 8174.591740917175, 0.09475, -0.1125, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163638857E9, 0.0, 2026-05-22 16:29:23.638
42.0, -20633.74467298325, 4452.1992745637035, 177.15992655276378, -18005.17952503914, -8007.624209836032, -16308.302141225595, -9984.636006907942, -12547.375267431173, -10610.86483131228, 4354.253930360547, -28827.156582731794, 7505.872250303299, 4376.091584693383, 9209.857488853633, -3511.3025917175523, 8340.531091753375, 0.09475, -0.1125, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601636478586E9, 0.0, 2026-05-22 16:29:23.647
44.0, -20794.923102250472, 4334.80791268443, 172.8236881284342, -18193.984710453118, -8129.642382817553, -16487.183152101417, -9970.330890456546, -12631.060198671843, -10584.37801413274, 4305.393016981247, -28943.363302154936, 7488.326130905883, 4282.013092280995, 9203.375482961594, -3586.605618787482, 8242.809264994772, 0.09475, -0.1125, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601636548572E9, 0.0, 2026-05-22 16:29:23.654
46.0, -20635.46575730631, 4464.738603203131, 166.87812410332253, -17997.289359246417, -8024.58918387761, -16309.285617981628, -10013.067425855092, -12569.257625252918, -10607.601476621805, 4303.716636147098, -28944.30207542206, 7455.625528767769, 4276.9839497785515, 9232.231585053396, -3603.1682614288643, 8234.203843379479, 0.096375, -0.11125, 1.01, 192.0, 1.5, 8.0, 126.0, 72.0, 15.5, 72.0, 0.0, 0.0, 0.0, 1.7794601636618612E9, 0.0, 2026-05-22 16:29:23.661
48.0, -20709.986473320303, 4405.640590863299, 182.43493824421626, -18102.074337252896, -8077.048728114216, -16408.81793604111, -9981.618521406475, -12593.509267986927, -10597.833764294835, 4352.331680337391, -28831.47046941167, 7531.040314559975, 4373.476430592112, 9221.078064570196, -3519.7068476327477, 8332.529167238376, 0.096375, -0.11125, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601636698556E9, 0.0, 2026-05-22 16:29:23.669
50.0, -20746.620982482553, 4389.323817410925, 169.06859505994262, -18119.531049672492, -8093.36550156659, -16423.190107725874, -9999.45521348181, -12609.110785616731, -10587.082575211833, 4274.279388699459, -29025.818887450565, 7445.053153640409, 4229.2629753664705, 9168.976148244876, -3656.7900963771463, 8165.986319301882, 0.096375, -0.11125, 1.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163677853E9, 0.0, 2026-05-22 16:29:23.677
